route_actuelle	lot	domaine	route_cible	appelants	exemples
/alerts	L4	dashboard	/api/dashboard/alerts	1	loadDashboard
/alerts/snooze	L4	dashboard	/api/dashboard/snooze	1	snoozeAlert
/approve	L5	outline	/api/outline/approve	1	approve
/approve-all	L2	sessions	/api/session/approve-all	1	approveAll
/auth/devices	L0	auth	/api/auth/devices	3	loadDevices;logout;revokeDevice
/auth/login	L0	auth	/api/auth/login	1	login
/auth/users	L0	auth	/api/auth/users	5	createUser;deleteUser;loadUsers;resetUserPw
/auth/whoami	L2	sessions	/api/auth/whoami	1	kill
/auto-yes	L2	sessionsets	/api/session-set/auto-yes	1	setAutoYes
/buffer	L2	terminal	/api/terminal/buffer	1	pullBuffer
/capture	L2,L5	terminal	/api/terminal/capture	2	copyCapture;readQuestion
/client	L4	projects	/api/project/client	1	openCenterClient
/cockpit-config	L2	sessions	/api/session/cockpit-config	1	kill
/conf	L4	projects	/api/project/conf	1	openCenterConf
/core/update-status	L0	core	/api/core/update-status	1	refreshCoreUpdate
/disposition	L2	sessions	/api/session/disposition	1	setDisposition
/env-check	L5	env	/api/env/env-check	1	loadEnvCheck
/env-status	L5	env	/api/env/env-status	1	openEnvStatus
/file	L4,L5	files	/api/file/file	2	openCenterFile;openDoc
/fs/file	L4	files	/api/file/file	4	filesOpen;openCenterFile;projOpen;vocabShow
/fs/log	L4	files	/api/file/log	1	filesToggleCommits
/fs/ls	L4	files	/api/file/ls	3	filesLoadDir;openCenterDir;projBrowse
/git/diff	L4	git	/api/git/diff	1	gitShowDiff
/git/log	L4	git	/api/git/log	1	gitLoad
/git/show	L4	files	/api/file/git/show	2	gitShowCommit;openCenterCommit
/help	L5	glossary	/api/glossary/help	1	openHelp
/kill	L2	sessions	/api/session/kill	1	kill
/layout	L2	sessions	/api/session/layout	1	setLayout
/mail/queue	L1	files	/api/mail/queue	2	loadMail;openCenterMail
/memdebug	L2	terminal	/api/terminal/memdebug	1	memProbeSample
/mergecheck	L3	tickets	/api/ticket/mergecheck	1	ensureMergecheck
/monitor	L2	sessions	/api/session/monitor	1	addMonitor
/move-session	L2	sessions	/api/session/move-session	1	moveSession
/mr/batch	L3	worklog	/api/worklog/mr/batch	2	openMrBatch;sendMrBatch
/mr/deliver	L3	review	/api/review/mr/deliver	1	mrDeliver
/mr/merge	L3	worklog	/api/worklog/mr/merge	1	mergeOneMr
/outline	L5	layout	/api/layout/outline	1	loadOutline
/overview	L4	dashboard	/api/dashboard/overview	2	loadDashboard;loadProjWorklog
/pm/commands	L5	settings	/api/pm/commands	1	loadPmCommands
/pm/run	L3	review	/api/pm/run	1	pmRun
/pm/settings	L2,L5	terminal	/api/pm/settings	2	loadSettings;saveSetting
/pm/test-queue	L3	review	/api/pm/test-queue	1	loadTestQueue
/project	L5	glossary	/api/glossary/project	2	ensureProjectCard;openProjectView
/project-roots	L4	files	/api/file/project-roots	1	loadFiles
/project-worktrees	L4	projects	/api/project/project-worktrees	1	loadProjWorktrees
/projects	L3	search	/api/project/projects	1	loadProjects
/question	L5	voice	/api/voice/question	2	announceWaiting;readQuestion
/refresh	L2	sessions	/api/session/refresh	1	refreshFetch
/resolve	L3,L5	tickets	/api/ticket/resolve	2	ensureResolved;resolveRm
/resumable	L3	search	/api/search/resumable	1	loadResumable
/resume	L2	sessions	/api/session/resume	2	relaunchGhost;resumeSession
/scroll	L5	outline	/api/outline/scroll	2	jumpTo;scrollLive
/send	L2,L3,L5	sessions	/api/session/send	4	composerSend;sendAction;sendDictated;sendTicketToSession
/session-set	L2	sessionsets	/api/session-set/session-set	6	deleteSessionSet;dropFromSet;forgetGhost;loadSessionSet
/session-set/create	L2	sessionsets	/api/session-set/create	2	applyRuleForm;createSetFromSelection
/session-set/current	L2	sessionsets	/api/session-set/current	2	switchSet;switchView
/session-set/estimate	L2	sessionsets	/api/session-set/estimate	1	relaunchSessionSet
/session-set/history	L2	sessionsets	/api/session-set/history	1	toggleSetHistory
/session-set/materialize	L2	sessionsets	/api/session-set/materialize	1	materializeSet
/session-set/move	L2	sessionsets	/api/session-set/move	1	moveSelection
/session-set/relaunch	L2	sessionsets	/api/session-set/relaunch	1	relaunchSessionSet
/session-set/rename	L2	sessionsets	/api/session-set/rename	1	renameSet
/session-set/restart	L2	sessionsets	/api/session-set/restart	1	toggleRestart
/session-set/restore	L2	sessionsets	/api/session-set/restore	2	restoreSet;undoSetChange
/session-set/retention	L2	sessionsets	/api/session-set/retention	1	setRetention
/session-set/rule	L2	sessionsets	/api/session-set/rule	1	applyRuleForm
/session-sets	L2	sessionsets	/api/session-set/session-sets	1	refreshSessionSets
/sessions	L0,L3	tabs	/api/session/sessions	2	attachIfRunning;openSessionTab
/spawn	L2,L3	sessions	/api/session/spawn	3	spawn;spawnBatchSession;spawnTicketSession
/stt	L5	voice	/api/voice/stt	1	serverDictate
/tags	L3	search	/api/search/tags	1	loadTags
/ticket-sessions	L3	testqueue	/api/test-queue/ticket-sessions	1	ensureTicketSessions
/ticket-transitions	L3	testqueue	/api/test-queue/ticket-transitions	1	ticketTransitions
/tickets	L2,L3	sessions	/api/ticket/tickets	2	createTicket;submitNewTicket
/tickets/brief	L3	tickets	/api/ticket/brief	1	requestBriefs
/triage	L3	tickets	/api/ticket/triage	1	loadTriage
/tts	L5	voice	/api/voice/tts	1	serverSpeak
/unmonitor	L2	sessions	/api/session/unmonitor	1	removeMonitor
/usage	L3	tickets	/api/ticket/usage	1	ensureUsage
/vault/ssh-add	L2	terminal	/api/env/ssh-add	1	vaultSshAdd
/vault/unlock	L2	terminal	/api/env/unlock	1	vaultUnlock
/voice/caps	L5	voice	/api/voice/caps	1	loadVoiceCaps
/worklog	L3	worklog	/api/worklog/worklog	1	loadWorklog
/worklog/batch	L3,L4	worklog	/api/worklog/batch	3	openBatchPlan;sendBatch;spawnBatchSession
/workspace-status	L3	tickets	/api/ticket/workspace-status	1	refreshWorkspace
/worktrees	L4	files	/api/file/worktrees	1	loadFiles
/mail/fetch	L1	mail	/api/mail/fetch	1	mailFetch
/mail/route	L1	mail	/api/mail/route	1	mailRoute
/mail/draft	L1	mail	/api/mail/draft	1	mailDraft
/mail/create	L1	mail	/api/mail/create	2	mailCreate;mailNoteOn
/mail/route-set	L1	mail	/api/mail/route-set	1	mailReroute
/mail/dismiss	L1	mail	/api/mail/dismiss	1	mailDismiss
/git/show	L4	git	/api/git/show	1	gitShowCommit
